105,2010080216444720,Prod,138885353,@118,
106,2010080216445750,,138885354,@17,
107,2010080216455400,,138885503,@17,
108,2010080216465400,,138885661,@17,
109,2010080216475310,,138885818,@17,
110,2010080216481060,Prod,138885861,8019,
111,2010080216481060,Prod,138885861,8030,
112,2010080216481060,Prod,138885861,@119,
117,2010080216485170,W-up,138885861,@47,ON
118,2010080216485170,W-up,138885861,@47,ON
119,2010080216485170,W-up,138885861,@47,ON
120,2010080216485170,W-up,138885861,@47,ON
121,2010080216485170,W-up,138885861,@47,ON
122,2010080216485170,W-up,138885861,@47,ON
123,2010080216485710,Downtime,138885861,4068,Process
124,2010080216490140,Downtime,138885861,4068,Process
125,2010080216500150,Downtime,138885861,4068,Process
126,2010080216502850,W-up,138885861,@48,OFF
127,2010080216502850,W-up,138885861,@48,OFF
128,2010080216502860,W-up,138885861,@48,OFF
129,2010080216502910,W-up,138885861,@48,OFF
130,2010080216502910,W-up,138885861,@48,OFF
131,2010080216502910,W-up,138885861,@48,OFF
132,2010080216510060,Downtime,138885861,4068,Process
133,2010080216520070,Downtime,138885861,4068,Process
134,2010080216530080,Downtime,138885861,4068,Process
135,2010080216540090,Downtime,138885861,4068,Process
136,2010080216550090,Downtime,138885861,4068,Process
137,2010080216560100,Downtime,138885861,4068,Process
138,2010080216570110,Downtime,138885861,4068,Process
139,2010080216580120,Downtime,138885861,4068,Process
140,2010080216590130,Downtime,138885861,4068,Process
141,2010080217000140,Downtime,138885861,4068,Process
142,2010080217010150,Downtime,138885861,4068,Process
143,2010080217020050,Downtime,138885861,4068,Process
144,2010080217030060,Downtime,138885861,4068,Process
145,2010080217040180,Downtime,138885861,4068,Process
146,2010080217050080,Downtime,138885861,4068,Process
147,2010080217060090,Downtime,138885861,4068,Process
148,2010080217070100,Downtime,138885861,4068,Process
149,2010080217080110,Downtime,138885861,4068,Process
150,2010080217090110,Downtime,138885861,4068,Process
151,2010080217100120,Downtime,138885861,4068,Process
152,2010080217110130,Downtime,138885861,4068,Process
153,2010080217120140,Downtime,138885861,4068,Process
154,2010080217130150,Downtime,138885861,4068,Process
155,2010080217140060,Downtime,138885861,4068,Process
156,2010080217150070,,138885861,@17,
157,2010080217160080,,138885861,@17,
158,2010080217170080,,138885861,@17,
159,2010080217173410,Prod,138885861,8018,
160,2010080217173410,Prod,138885861,8029,
161,2010080217173420,Prod,138885861,@118,
162,2010080217174560,Prod,138885870,8019,
163,2010080217174560,Prod,138885870,8030,
164,2010080217174760,,138885876,@17,
165,2010080217175260,,138885888,@17,
166,2010080217175620,@57,138885897,@57,
167,2010080217180500,,138885919,@17,
169,2010080217190100,,138885919,@17,
170,2010080217200110,,138885919,@17,
171,2010080217203010,@58,138885919,@58,
172,2010080217203060,@67,138885919,@67,
173,2010080217203160,,138885919,@17,
174,2010080217203360,@68,138885919,@68,
175,2010080217205400,,138885919,@17,
176,2010080217205750,,138885920,@17,
177,2010080217210970,,138885928,@17,
178,2010080217210980,,138885928,@17,
179,2010080217215260,,138886042,@17,
180,2010080217225370,,138886202,@17,
181,2010080217235310,Prod,138886357,8019,
182,2010080217235320,Prod,138886357,8030,
183,2010080217235320,Prod,138886357,@119,
187,2010080217240140,,138886357,@17,
188,2010080217241100,@61,138886357,@61,
189,2010080217250050,,138886357,@17,
190,2010080217260060,,138886357,@17,
191,2010080217261060,@62,138886357,@62,
192,2010080217261610,Prod,138886357,8018,
193,2010080217261610,Prod,138886357,8029,
194,2010080217261620,Prod,138886357,@118,
195,2010080217265300,,138886426,@17,
196,2010080217275360,,138886585,@17,
197,2010080217281210,Prod,138886632,8019,
198,2010080217281210,Prod,138886632,8030,
199,2010080217281210,Prod,138886632,@119,
202,2010080217285210,Downtime,138886632,4068,Process
203,2010080217290090,Downtime,138886632,4068,Process
204,2010080217300100,Downtime,138886632,4068,Process
205,2010080217302860,W-up,138886632,@45,ON
206,2010080217310100,,138886632,@17,
207,2010080217320110,,138886632,@17,
208,2010080217330120,,138886632,@17,
209,2010080217330900,W-up,138886632,@46,OFF
210,2010080217332610,@62,138886632,@62,
211,2010080217333010,Prod,138886632,8018,
